"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN"
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2019-01",,,,,,,"1.35",,,"4.81",,,,,,
"US1MAWR0028","BERLIN 1.3 WSW, MA US","42.3775","-71.6583","123.4","2019-02",,,"4",,,"4.0","1.47",,,"3.81",,"12.4",,,,
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","42.19083","-71.17361","15.2","2019-01","0",,,"3",,,"1.49","62","3123","4.70",,,"30.0","39.3","20.6",
"USW00054704","NORWOOD MEMORIAL AIRPORT, MA US","42.19083","-71.17361","15.2","2019-02","0",,,"7",,,"0.78","66","4029","2.50",,,"32.6","42.0","23.4",
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","42.2309","-70.8745","11.3","2019-01",,,"1",,,"5.1","1.92",,,"6.20",,"5.1",,,,
"US1MAPL0036","HINGHAM 0.8 ESE, MA US","42.2309","-70.8745","11.3","2019-02",,,"2",,,"5.5","1.05",,,"3.47",,"7.4",,,,
"US1MAMD0062","CHELMSFORD 1.2 E, MA US","42.5972","-71.3449","40.2","2019-01",,,"1",,,"5.6","1.18",,,"4.35",,"5.8",,,,
"US1MAMD0062","CHELMSFORD 1.2 E, MA US","42.5972","-71.3449","40.2","2019-02",,,,,,,"1.80",,,"4.04",,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2019-01",,,,,,,"1.73",,,"7.31",,,,,,
"US1MABR0009","TAUNTON 2.6 NW, MA US","41.929","-71.1298","24.1","2019-02",,,"4",,,"4.0","1.12",,,"3.72",,"11.4",,,,
"US1MAMD0025","AYER 0.1 SW, MA US","42.5611","-71.5869","82.3","2019-01",,,,,,,"1.13",,,"3.51",,,,,,
"US1MAMD0025","AYER 0.1 SW, MA US","42.5611","-71.5869","82.3","2019-02",,,,,,,"1.34",,,"3.37",,,,,,
"US1MAES0020","HAVERHILL 0.7 N, MA US","42.7945","-71.0861","29.0","2019-01",,,"3",,,"5.8","0.84",,,"4.04",,"13.1",,,,
"US1MAES0020","HAVERHILL 0.7 N, MA US","42.7945","-71.0861","29.0","2019-02",,,,,,,"1.30",,,"3.25",,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.3031","-71.124","29.0","2019-01","0","5","1","1","5","5.2","1.36","58","3306","4.86",,"5.7","28.7","37.5","19.9",
"USC00193890","JAMAICA PLAIN, MA US","42.3031","-71.124","29.0","2019-02","0","13","3","2","4","3.6","0.58","65","4230","2.17",,"8.4","30.8","39.4","22.2",
"USC00194105","LAWRENCE, MA US","42.6993","-71.1659","15.2","2019-01","0","7","3","1","6","5.0","0.99","58","3450","3.91",,"9.7","27.0","35.3","18.7",
"USC00194105","LAWRENCE, MA US","42.6993","-71.1659","15.2","2019-02","0","15","5","1","4","3.2","1.30","63","4449","3.25",,"9.6","29.3","37.1","21.6",
"US1MAWR0030","SHREWSBURY 1.6 NNE, MA US","42.3195","-71.7005","179.8","2019-01",,,,,,,"1.52",,,"2.85",,,,,,
"US1MAWR0030","SHREWSBURY 1.6 NNE, MA US","42.3195","-71.7005","179.8","2019-02",,,,,,,"1.43",,,"3.46",,,,,,
"USC00194502","MARBLEHEAD, MA US","42.5007","-70.8644","25.6","2019-01","0","4","1","1","2","2.0","1.15","55","3445","4.00",,"2.8","28.8","38.0","19.7",
"USC00194744","MIDDLETON, MA US","42.5934","-71.0187","33.5","2019-01","0","5","2","-6","6","5.0","1.25","58","3663","4.34",,"6.5","25.0","35.5","14.5",
"USC00194744","MIDDLETON, MA US","42.5934","-71.0187","33.5","2019-02","0","12","5","-7","5","3.5","1.29","61","4727","3.42",,"12.2","27.0","37.1","16.9",
"US1MANF0001","NORWOOD 1.3 NW, MA US","42.1976","-71.2137","65.5","2019-01",,"5","1",,"4","4.6","1.15",,,"5.06",,"5.8",,,,
"US1MANF0001","NORWOOD 1.3 NW, MA US","42.1976","-71.2137","65.5","2019-02",,"11","4",,"4","3.6","1.09",,,"3.24",,"11.9",,,,
"USC00190860","BROCKTON, MA US","42.04756","-71.00819","22.9","2019-01","0","1","1","1","3","3.0","2.47","59","3220","7.03",,"3.0","28.8","37.6","20.0",
"US1MABR0030","TAUNTON 3.9 N, MA US","41.9581","-71.0821","26.8","2019-01",,"4","1",,"3","3.0","1.48",,,"6.31",,"3.0",,,,
"US1MABR0030","TAUNTON 3.9 N, MA US","41.9581","-71.0821","26.8","2019-02",,"10","4",,"4","4.0","1.06",,,"3.48",,"11.4",,,,
"US1MANF0005","WEYMOUTH 0.5 NW, MA US","42.2115","-70.9506","30.2","2019-01",,,,,,,"1.59",,,"3.55",,,,,,
"US1MANF0005","WEYMOUTH 0.5 NW, MA US","42.2115","-70.9506","30.2","2019-02",,,,,,,"0.95",,,"2.10",,,,,,
"US1MAPL0043","HANSON 0.7 NW, MA US","42.0723","-70.8587","19.2","2019-01",,,,,,,"1.38",,,"5.44",,,,,,
"US1MAMD0093","WESTFORD 1.5 SSW, MA US","42.5653","-71.4491","99.1","2019-01",,"4","3",,"7","7.0","1.27",,,"4.34",,"11.3",,,,
"US1MAMD0093","WESTFORD 1.5 SSW, MA US","42.5653","-71.4491","99.1","2019-02",,,"3",,,"2.8","1.42",,,"3.47",,"8.1",,,,
"USC00193624","HINGHAM, MA US","42.2269","-70.9125","10.7","2019-01","0","4","1","2","4","5.0","2.04","58","3196","6.55",,"5.6","30.0","38.3","21.6",
"USC00193624","HINGHAM, MA US","42.2269","-70.9125","10.7","2019-02","0","9","4","7","5","5.2","0.74","66","4061","3.78",,"14.3","31.7","39.8","23.6",
"USC00193505","HAVERHILL, MA US","42.7594","-71.0602","6.1","2019-01","0","7","3","0","8","4.0","1.01","58","3645","4.30",,"13.1","26.0","35.1","16.9",
"US1MAPL0005","KINGSTON 3.3 WNW, MA US","42.017","-70.772","21.9","2019-01",,,,,,,"2.01",,,"6.10",,,,,,
"US1MAPL0005","KINGSTON 3.3 WNW, MA US","42.017","-70.772","21.9","2019-02",,,"5",,,"4.2","1.23",,,"4.37",,"12.2",,,,
"US1MAMD0053","ACTON 4.0 ENE, MA US","42.4973","-71.3912","70.4","2019-01",,,,,,,"1.34",,,"4.42",,,,,,
"US1MAMD0053","ACTON 4.0 ENE, MA US","42.4973","-71.3912","70.4","2019-02",,,,,,,"1.40",,,"3.11",,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-01","0",,"1","5",,"1.1","1.20","59","2960","3.63",,"2.1","30.8","38.5","23.0",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2019-02","0",,"5","10",,"3.6","0.91","65","3841","3.45",,"11.6","33.5","40.7","26.3",
"US1MAMD0051","MAYNARD 0.7 ESE, MA US","42.4203","-71.4448","63.7","2019-01",,"7","4",,"7","7.0","1.48",,,"4.96",,"12.5",,,,
"US1MAMD0051","MAYNARD 0.7 ESE, MA US","42.4203","-71.4448","63.7","2019-02",,"16","6",,"4","3.0","1.46",,,"3.79",,"12.0",,,,
"US1MAMD0052","LEXINGTON 0.6 SW, MA US","42.4398","-71.2405","81.4","2019-01",,"7","4",,"8","6.1","1.08",,,"3.44",,"10.4",,,,
"US1MAMD0052","LEXINGTON 0.6 SW, MA US","42.4398","-71.2405","81.4","2019-02",,"19","4",,"4","3.8","1.40",,,"3.50",,"13.0",,,,
"US1MAMD0096","LEXINGTON 0.3 NE, MA US","42.4494","-71.2279","67.4","2019-01",,,,,,,"1.25",,,"1.86",,,,,,
"US1MAMD0096","LEXINGTON 0.3 NE, MA US","42.4494","-71.2279","67.4","2019-02",,,,,,,"0.79",,,"1.78",,,,,,
"US1MAMD0011","CAMBRIDGE 0.9 NNW, MA US","42.3876","-71.1253","14.6","2019-01",,,,,,,"1.69",,,"4.69",,,,,,
"US1MAMD0011","CAMBRIDGE 0.9 NNW, MA US","42.3876","-71.1253","14.6","2019-02",,,,,,,"1.71",,,"4.13",,,,,,
"US1MAMD0012","ACTON 1.3 SW, MA US","42.4675","-71.482","64.3","2019-01",,"7","4",,"7","6.1","1.34",,,"4.66",,"11.2",,,,
"US1MAMD0012","ACTON 1.3 SW, MA US","42.4675","-71.482","64.3","2019-02",,"20","5",,"5","3.1","1.52",,,"4.02",,"12.8",,,,
"US1MAMD0007","WINCHESTER 0.7 SE, MA US","42.4459","-71.1358","13.7","2019-01",,"6","2",,"7","6.2","1.25",,,"4.15",,"8.9",,,,
"US1MAMD0007","WINCHESTER 0.7 SE, MA US","42.4459","-71.1358","13.7","2019-02",,"11","4",,"4","3.2","1.38",,,"3.61",,"10.5",,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","42.47","-71.28944","40.5","2019-01","0",,,"0",,,"1.86","58","3491","2.58",,,"27.1","36.3","18.0",
"USW00014702","BEDFORD HANSCOM FIELD, MA US","42.47","-71.28944","40.5","2019-02","0",,,"-1",,,"0.86","64","4459","3.48",,,"30.4","39.3","21.6",
"US1MAWR0042","NORTHBOROUGH 2.3 N, MA US","42.3454","-71.6439","102.1","2019-01",,"12","3",,"6","4.5","1.37",,,"5.13",,"13.1",,,,
"US1MAWR0042","NORTHBOROUGH 2.3 N, MA US","42.3454","-71.6439","102.1","2019-02",,"20","4",,"4","3.3","1.35",,,"3.39",,"11.8",,,,
"USC00190593","BEVERLY, MA US","42.588","-70.8371","19.8","2019-01",,"5","1",,"6","5.0",,,,"3.27",,"6.0",,,,
"USC00190593","BEVERLY, MA US","42.588","-70.8371","19.8","2019-02",,"9",,,"4",,,,,,,,,,,
"USC00194313","LOWELL, MA US","42.6409","-71.3637","33.5","2019-01","0","7","4","-1","6","5.0","1.35","55","3518","4.39",,"9.6","26.0","34.9","17.0",
"USC00194313","LOWELL, MA US","42.6409","-71.3637","33.5","2019-02","0",,,"-1",,,"1.35","62","4490","3.31",,,"29.0","38.6","19.4",
"USC00198757","WALPOLE 2, MA US","42.1609","-71.2461","51.8","2019-01","0","6","1","-1","5","5.0","1.46","57","3352","6.03",,"6.4","28.8","37.6","20.0",
"US1MANF0011","MILLIS 2.0 SW, MA US","42.146","-71.3794","58.2","2019-01",,"4","2",,"4","3.5","1.34",,,"5.69",,"5.2",,,,
"US1MANF0011","MILLIS 2.0 SW, MA US","42.146","-71.3794","58.2","2019-02",,"7","3",,"4","4.0","0.97",,,"3.06",,"10.2",,,,
"US1MAPL0015","ABINGTON 1.2 NNE, MA US","42.1343","-70.9521","46.0","2019-01",,"1","1",,"2","2.0","1.46",,,"5.50",,"2.2",,,,
"US1MAPL0015","ABINGTON 1.2 NNE, MA US","42.1343","-70.9521","46.0","2019-02",,,"3",,,"4.0","1.10",,,"2.59",,"7.4",,,,
"US1MAES0008","MARBLEHEAD 0.8 SW, MA US","42.4921","-70.8758","11.6","2019-01",,,,,,,"1.16",,,"3.69",,,,,,
"US1MAES0008","MARBLEHEAD 0.8 SW, MA US","42.4921","-70.8758","11.6","2019-02",,,"4",,,"4.6","1.23",,,"3.33",,"13.2",,,,
"US1MAMD0080","LINCOLN 1.5 SW, MA US","42.404","-71.3242","62.2","2019-01",,,,,,,"1.11",,,"3.44",,,,,,
"US1MAMD0080","LINCOLN 1.5 SW, MA US","42.404","-71.3242","62.2","2019-02",,,,,,,"1.42",,,"3.30",,,,,,
"US1MANF0019","FOXBOROUGH 1.8 SSW, MA US","42.0421","-71.2646","65.2","2019-01",,,,,,,"1.74",,,"6.46",,,,,,
"US1MANF0019","FOXBOROUGH 1.8 SSW, MA US","42.0421","-71.2646","65.2","2019-02",,,,,,,"1.08",,,"3.69",,,,,,
"US1MAWR0001","MILFORD 2.3 NNW, MA US","42.179","-71.5339","121.0","2019-01",,,,,,,"1.41",,,"5.70",,,,,,
"US1MAWR0001","MILFORD 2.3 NNW, MA US","42.179","-71.5339","121.0","2019-02",,,,,,,"1.21",,,"3.53",,,,,,
"US1MAMD0081","WAKEFIELD 0.5 NNW, MA US","42.5117","-71.0701","38.7","2019-01",,"5","3",,"7","8.0","1.01",,,"3.63",,"11.2",,,,
"US1MAMD0081","WAKEFIELD 0.5 NNW, MA US","42.5117","-71.0701","38.7","2019-02",,,"4",,,"4.6","1.28",,,"3.54",,"15.4",,,,
"US1RIPR0055","CUMBERLAND HILL 3.6 NNE, RI US","42.0166","-71.4224","89.9","2019-01",,"3","1",,"3","2.9","1.69",,,"6.30",,"3.8",,,,
"US1RIPR0055","CUMBERLAND HILL 3.6 NNE, RI US","42.0166","-71.4224","89.9","2019-02",,,"3",,,"3.5","0.97",,,"2.75",,"9.9",,,,
"US1MAMD0042","HOLLISTON 0.8 S, MA US","42.1882","-71.4339","80.8","2019-01",,,,,,,"1.43",,,"5.48",,,,,,
"US1MAMD0042","HOLLISTON 0.8 S, MA US","42.1882","-71.4339","80.8","2019-02",,,,,,,"1.17",,,"3.41",,,,,,
"US1MAES0004","GROVELAND 0.5 WSW, MA US","42.7471","-71.0426","8.2","2019-01",,"8","3",,"7","7.1","1.35",,,"4.08",,"11.6",,,,
"US1MAES0004","GROVELAND 0.5 WSW, MA US","42.7471","-71.0426","8.2","2019-02",,"21","4",,"4","4.5","0.81",,,"3.49",,"14.9",,,,
"US1MAES0048","ANDOVER 0.6 E, MA US","42.6566","-71.1305","62.5","2019-01",,,"3",,,"6.3","1.01",,,"4.37",,"11.3",,,,
"US1MAES0048","ANDOVER 0.6 E, MA US","42.6566","-71.1305","62.5","2019-02",,"16","5",,"5","4.0","1.41",,,"3.76",,"11.4",,,,
"US1MAES0045","NAHANT 0.4 N, MA US","42.4218","-70.9154","2.1","2019-01",,,,,,,"0.78",,,"3.75",,,,,,
"US1MAES0045","NAHANT 0.4 N, MA US","42.4218","-70.9154","2.1","2019-02",,,,,,,"1.14",,,"3.01",,,,,,
"US1MAES0002","BEVERLY 2.8 NW, MA US","42.5872","-70.8774","14.0","2019-02",,"11","5",,"5","4.0","1.13",,,"3.19",,"13.5",,,,
"US1MAMD0085","WILMINGTON 2.2 WNW, MA US","42.5687","-71.2076","36.3","2019-01",,,,,,,"1.14",,,"4.63",,,,,,
"US1MAMD0085","WILMINGTON 2.2 WNW, MA US","42.5687","-71.2076","36.3","2019-02",,,,,,,"1.38",,,"3.70",,,,,,
"US1MAES0041","DANVERS 0.8 ESE, MA US","42.5685","-70.9353","13.7","2019-01",,"5","1",,"6","5.4","1.10",,,"4.06",,"6.4",,,,
"US1MAES0041","DANVERS 0.8 ESE, MA US","42.5685","-70.9353","13.7","2019-02",,"11","5",,"4","3.4","1.39",,,"4.00",,"10.5",,,,
"US1MAMD0044","MEDFORD 1.2 W, MA US","42.4228","-71.1318","8.5","2019-01",,"1","1",,"6","6.2","0.98",,,"4.26",,"6.9",,,,
"US1MAMD0044","MEDFORD 1.2 W, MA US","42.4228","-71.1318","8.5","2019-02",,"9","4",,"4","3.0","1.50",,,"3.94",,"11.9",,,,
"US1MAMD0088","WAYLAND 2.1 SSE, MA US","42.3367","-71.3571","90.8","2019-01",,"6","3",,"6","6.0","1.32",,,"4.75",,"8.9",,,,
"US1MAMD0088","WAYLAND 2.1 SSE, MA US","42.3367","-71.3571","90.8","2019-02",,"18","4",,"4","3.3","1.26",,,"3.46",,"12.5",,,,
"US1MAMD0045","WILMINGTON 1.5 NE, MA US","42.573","-71.1442","25.6","2019-01",,,"2",,,"5.6","1.62",,,"4.67",,"7.2",,,,
"US1MAMD0045","WILMINGTON 1.5 NE, MA US","42.573","-71.1442","25.6","2019-02",,,"3",,,"2.8","1.32",,,"3.16",,"8.5",,,,
"US1MAMD0089","SUDBURY 3.6 W, MA US","42.3639","-71.4701","85.0","2019-01",,,,,,,"1.44",,,"3.89",,,,,,
"US1MAMD0089","SUDBURY 3.6 W, MA US","42.3639","-71.4701","85.0","2019-02",,,,,,,"1.48",,,"3.63",,,,,,
"USC00196783","READING, MA US","42.524","-71.1249","33.5","2019-01","0","6","2","0","7","6.2","1.06","58","3427","4.19",,"8.0","27.9","37.6","18.3",
"USC00196783","READING, MA US","42.524","-71.1249","33.5","2019-02","0","11","5","0","4","3.6","1.42","65","4413","3.67",,"12.7","29.8","39.5","20.1",
"USW00014753","BLUE HILL LCD, MA US","42.2123","-71.1137","190.5","2019-01","0","5","2","-2","4","2.6","1.77","57",,"5.35","52.4","4.7","26.1","34.3","17.9","9273"
"USW00014753","BLUE HILL LCD, MA US","42.2123","-71.1137","190.5","2019-02","0","11","4","5","4","4.7","0.90","62",,"3.61","53.4","12.1","29.4","37.3","21.6","9476"
"US1MAMD0115","HUDSON 1.4 NW, MA US","42.4037","-71.5868","106.1","2019-01",,"7","3",,"9","6.0","1.20",,,"4.44",,"12.2",,,,
"US1MAMD0115","HUDSON 1.4 NW, MA US","42.4037","-71.5868","106.1","2019-02",,,"5",,,"3.5","1.32",,,"3.48",,"12.6",,,,
"US1MAMD0119","WATERTOWN 1.1 W, MA US","42.3711","-71.1995","16.5","2019-01",,"5","2",,"6","5.3","1.04",,,"4.30",,"7.7",,,,
"US1MAMD0119","WATERTOWN 1.1 W, MA US","42.3711","-71.1995","16.5","2019-02",,"10","4",,"4","3.7","0.85",,,"3.14",,"11.9",,,,
"US1MASF0010","CHELSEA 0.8 N, MA US","42.4073","-71.0357","32.3","2019-01",,,,,,,"0.99",,,"4.28",,,,,,
"US1MASF0010","CHELSEA 0.8 N, MA US","42.4073","-71.0357","32.3","2019-02",,,,,,,"1.61",,,"4.27",,,,,,
"USC00190840","BRIDGEWATER, MA US","41.9538","-70.9571","12.2","2019-01","0","4","1","5","2","3.0","1.43","59","3140","6.10",,"3.0","30.2","40.0","20.4",
"USC00190840","BRIDGEWATER, MA US","41.9538","-70.9571","12.2","2019-02","0",,,"6",,,"1.17","67","3965","4.00",,,"33.3","42.7","23.9",
"USC00193276","GROVELAND, MA US","42.7467","-71.0426","9.1","2019-01","0","8","3","-2","7","7.1","1.35","58","3641","4.08",,"11.6","26.2","35.0","17.5",
"USC00194760","MILFORD, MA US","42.1633","-71.5119","85.3","2019-01",,"7","2",,"4","4.0","1.42",,,"5.73",,"7.0",,,,
"USC00194760","MILFORD, MA US","42.1633","-71.5119","85.3","2019-02",,"14","4",,"4","4.0","1.23",,,"3.70",,"12.0",,,,
"USC00198368","NWS BOSTON NORTON, MA US","41.9561","-71.1395","25.9","2019-01","0","4","1","0","2","3.5","1.66","59","3451","6.78",,"3.5","27.8","37.4","18.2",
"USC00198368","NWS BOSTON NORTON, MA US","41.9561","-71.1395","25.9","2019-02","0","8","3","2","4","3.8","1.08","57","4397","3.70",,"11.4","28.6","37.1","20.2",
"USW00054733","BEVERLY MUNICIPAL AIRPORT, MA US","42.58417","-70.9175","32.9","2019-01","0",,,"2",,,"1.12","59","3420","3.39",,,"27.8","36.4","19.1",
"USW00054733","BEVERLY MUNICIPAL AIRPORT, MA US","42.58417","-70.9175","32.9","2019-02","0",,,"7",,,"0.70","64","4381","3.40",,,"30.7","38.9","22.5",
"US1MAPL0022","EAST BRIDGEWATER 0.3 WSW, MA US","42.032","-70.9548","22.3","2019-01",,,,,,,"1.68",,,"5.57",,,,,,
"US1MAPL0022","EAST BRIDGEWATER 0.3 WSW, MA US","42.032","-70.9548","22.3","2019-02",,,,,,,"1.21",,,"3.94",,,,,,
"USC00192913","FOXBORO, MA US","42.0785","-71.238","82.3","2019-01","0","4","1","-1","4","4.0","1.50","57","3469","6.31",,"4.8","27.6","36.7","18.6",
"USC00192913","FOXBORO, MA US","42.0785","-71.238","82.3","2019-02","0",,,"0",,,"0.95","63","4386","3.68",,,"29.7","38.3","21.1",
"US1MANF0026","BELLINGHAM 2.4 S, MA US","42.0601","-71.4706","75.6","2019-01",,,,,,,"1.54",,,"6.24",,,,,,
"US1MAPL0023","PEMBROKE 2.8 SW, MA US","42.0384","-70.8394","24.4","2019-01",,,,,,,"1.32",,,"6.18",,,,,,
"US1MAPL0023","PEMBROKE 2.8 SW, MA US","42.0384","-70.8394","24.4","2019-02",,,,,,,"1.09",,,"3.95",,,,,,
"USC00192997","FRANKLIN, MA US","42.0793","-71.4095","76.2","2019-01",,"7","1",,"5","5.0","1.84",,,"6.33",,"6.0",,,,
"USC00192997","FRANKLIN, MA US","42.0793","-71.4095","76.2","2019-02",,,,,,,"1.11",,,"3.35",,,,,,
"USC00190736","BLUE HILL, MA US","42.2123","-71.1137","190.5","2019-01","0","5","1","-2","4","4.2","1.41","57","3544","5.35",,"4.7","26.6","35.4","17.9",
"USC00190736","BLUE HILL, MA US","42.2123","-71.1137","190.5","2019-02","0","9","4","-2","4","4.0","1.14","62","4504","3.51",,"12.1","27.9","36.8","19.1",
"US1MABR0055","NWS BOSTON NORTON 2.5 ESE, MA US","41.9563","-71.1393","28.3","2019-01",,"4","1",,"2","3.5","1.66",,,"6.78",,"3.5",,,,
"US1MABR0055","NWS BOSTON NORTON 2.5 ESE, MA US","41.9563","-71.1393","28.3","2019-02",,"9","3",,"4","3.8","1.08",,,"3.70",,"11.0",,,,
"US1MAWR0055","HARVARD 2.1 S, MA US","42.4689","-71.5836","131.7","2019-02",,,,,,,"1.32",,,"3.28",,,,,,
"US1MAES0012","BOXFORD 2.4 S, MA US","42.6397","-70.9797","15.2","2019-01",,"5","2",,"6","6.5","1.12",,,"4.07",,"10.0",,,,
"US1MAES0012","BOXFORD 2.4 S, MA US","42.6397","-70.9797","15.2","2019-02",,"13","5",,"6","4.5","1.35",,,"3.78",,"14.8",,,,
"US1MAMD0105","LITTLETON 0.9 WSW, MA US","42.5309","-71.4883","85.6","2019-01",,,,,,,"1.45",,,"4.48",,,,,,
"US1MAMD0105","LITTLETON 0.9 WSW, MA US","42.5309","-71.4883","85.6","2019-02",,,,,,,"1.46",,,"2.72",,,,,,
"US1MAMD0106","HOLLISTON 2.4 W, MA US","42.2007","-71.4798","86.3","2019-01",,,,,,,"1.56",,,"5.56",,,,,,
"US1MAMD0106","HOLLISTON 2.4 W, MA US","42.2007","-71.4798","86.3","2019-02",,,"4",,,"4.0","1.22",,,"3.59",,"13.0",,,,
"US1MAMD0104","LITTLETON 2.8 NNW, MA US","42.5717","-71.4991","73.2","2019-01",,"7","3",,"7","5.8","1.38",,,"4.18",,"10.2",,,,
"US1MAMD0104","LITTLETON 2.8 NNW, MA US","42.5717","-71.4991","73.2","2019-02",,"15","3",,"4","3.2","1.26",,,"3.16",,"7.7",,,,
"US1MAMD0107","FRAMINGHAM 1.7 E, MA US","42.3052","-71.4047","67.1","2019-02",,"13","3",,"4","4.4","1.30",,,"3.07",,"11.4",,,,
"US1MANF0031","STOUGHTON 1.2 E, MA US","42.1152","-71.0762","79.2","2019-01",,,,,,,"2.39",,,"7.19",,,,,,
"US1MANF0031","STOUGHTON 1.2 E, MA US","42.1152","-71.0762","79.2","2019-02",,,,,,,"1.08",,,"3.50",,,,,,
"USW00094723","LAWRENCE MUNICIPAL AIRPORT, MA US","42.71722","-71.12389","45.4","2019-01","0",,,"0",,,"0.92","58","3305","2.02",,,"26.8","34.8","18.8",
"USW00094723","LAWRENCE MUNICIPAL AIRPORT, MA US","42.71722","-71.12389","45.4","2019-02","0",,,"2",,,"0.42","62","4308","1.70",,,"29.2","37.3","21.1",
"US1MAPL0031","BRIDGEWATER 1.8 SE, MA US","41.9717","-70.9438","27.7","2019-01",,"4","2",,"2","2.0","1.47",,,"6.46",,"3.0",,,,
"US1MAPL0031","BRIDGEWATER 1.8 SE, MA US","41.9717","-70.9438","27.7","2019-02",,"8","4",,"4","4.0","1.19",,,"4.10",,"11.0",,,,
"USC00195984","NORTON WEST, MA US","41.9928","-71.1666","29.0","2019-01","0","4","1","1","2","3.0","2.08","58","3502","7.60",,"3.2","27.9","37.2","18.6",
"USC00195984","NORTON WEST, MA US","41.9928","-71.1666","29.0","2019-02",,,"3",,,"4.0","1.11",,,"3.76",,"10.4",,,,
"US1MANF0032","QUINCY 1.8 WSW, MA US","42.2524","-71.0396","16.8","2019-01",,,,,,,"1.71",,,"5.15",,,,,,
"US1MANF0032","QUINCY 1.8 WSW, MA US","42.2524","-71.0396","16.8","2019-02",,,,,,,"1.00",,,"3.29",,,,,,
"US1MAPL0030","DUXBURY 3.7 W, MA US","42.0424","-70.7462","33.8","2019-02",,,,,,,"1.31",,,"4.54",,,,,,
